ARRAY_BASE,10'h007,reg_array,13,reg_lp_en_ldo_02_dsleep,RW,1'h1,7,,,,,,,,,,,,
ARRAY_BASE,10'h007,reg_array,12,reg_lp_en_ldo_02_dr,RW,1'h0,7,,,,,,,,,,,,
ARRAY_BASE,10'h007,reg_array,11,reg_lp_en_ldo_02,RW,1'h0,7,,,,,,,,,,,,
ARRAY_BASE,10'h007,reg_array,10,reg_pu_ldo_02_dsleep,RW,1'h1,7,,,,,,,,,,,,
ARRAY_BASE,10'h007,reg_array,9:5,reg_ldo_02_vbit_dsleep,RW,5'h03,7,,,,,,,,,,,,
ARRAY_BASE,10'h007,reg_array,4:0,reg_ldo_02_vbit_normal,RW,5'h03,7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ARRAY_BASE,10'h008,reg_array,15,reg_dcdc_clk_se_en,RW,1'h0,8,,,,,,,,,,,,
ARRAY_BASE,10'h008,reg_array,14,reg_lp_en_ldo_05_dsleep,RW,1'h1,8,,,,,,,,,,,,
ARRAY_BASE,10'h008,reg_array,13,reg_lp_en_ldo_05_dr,RW,1'h0,8,,,,,,,,,,,,
ARRAY_BASE,10'h008,reg_array,12,reg_lp_en_ldo_05,RW,1'h0,8,,,,,,,,,,,,
ARRAY_BASE,10'h008,reg_array,11,reg_pu_ldo_05_dsleep,RW,1'h1,8,,,,,,,,,,,,
ARRAY_BASE,10'h008,reg_array,10,reg_pu_ldo_05_dr,RW,1'h0,8, ,,,,,,,,,,,
ARRAY_BASE,10'h008,reg_array,9,reg_pu_ldo_05,RW,1'h0,8,,,,,,,,,,,,
ARRAY_BASE,10'h008,reg_array,8,reg_ldo_13_pulldown,RW,1'h0,8,,,,,,,,,,,,
ARRAY_BASE,10'h008,reg_array,4:1,reg_ldo_05_ramp_step,RW,4'h8,9,,,,,,,,,,,,
ARRAY_BASE,10'h008,reg_array,0,reg_ldo_05_ramp_en,RW,1'h1,9,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ARRAY_BASE,10'h009,reg_array,15,reg_lp_en_ldo_06_dsleep,RW,1'h1,9,,,,,,,,,,,,
ARRAY_BASE,10'h009,reg_array,14,reg_lp_en_ldo_06_dr,RW,1'h0,9,,,,,,,,,,,,
ARRAY_BASE,10'h009,reg_array,13,reg_lp_en_ldo_06,RW,1'h0,9,,,,,,,,,,,,
ARRAY_BASE,10'h009,reg_array,12,reg_pu_ldo_06_dsleep,RW,1'h1,9,,,,,,,,,,,,
ARRAY_BASE,10'h009,reg_array,11,reg_pu_ldo_06_dr,RW,1'h0,9,,,,,,,,,,,,
ARRAY_BASE,10'h009,reg_array,10,reg_pu_ldo_06,RW,1'h1,9,,,,,,,,,,,,
ARRAY_BASE,10'h009,reg_array,4:1,reg_ldo_06_ramp_step,RW,4'h8,9,,,,,,,,,,,,
ARRAY_BASE,10'h009,reg_array,0,reg_ldo_06_ramp_en,RW,1'h1,9,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ARRAY_BASE,10'h00a,reg_array,15,reg_lp_en_ldo_03_dsleep,RW,1'h1,A,,,,,,,,,,,,
ARRAY_BASE,10'h00a,reg_array,14,reg_lp_en_ldo_03_dr,RW,1'h0,A,,,,,,,,,,,,
ARRAY_BASE,10'h00a,reg_array,13,reg_lp_en_ldo_03,RW,1'h0,A,,,,,,,,,,,,
ARRAY_BASE,10'h00a,reg_array,12,reg_pu_ldo_03_dsleep,RW,1'h1,A,,,,,,,,,,,,
ARRAY_BASE,10'h00a,reg_array,11,reg_pu_ldo_03_dr,RW,1'h0,A,,,,,,,,,,,,
ARRAY_BASE,10'h00a,reg_array,10,reg_pu_ldo_03,RW,1'h1,A,,,,,,,,,,,,
ARRAY_BASE,10'h00a,reg_array,9:5,reg_ldo_03_vbit_normal,RW,5'h06,A,,,,,,,,,,,,
ARRAY_BASE,10'h00a,reg_array,4:0,reg_ldo_03_vbit_dsleep,RW,5'h06,A,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ARRAY_BASE,10'h00b,reg_array,15:4,reg_hw_wdt_rst_time,RW,12'hccc,B,,,,,,,,,,,,
ARRAY_BASE,10'h00b,reg_array,3:0,resetn_db_number,RW,4'ha,B,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ARRAY_BASE,10'h00c,reg_array,15,reg_lp_en_ldo_13_dsleep,RW,1'h1,C,,,,,,,,,,,,
ARRAY_BASE,10'h00c,reg_array,14,reg_lp_en_ldo_13_dr,RW,1'h0,C,,,,,,,,,,,,
ARRAY_BASE,10'h00c,reg_array,13,reg_lp_en_ldo_13,RW,1'h0,C,,,,,,,,,,,,
ARRAY_BASE,10'h00c,reg_array,12,reg_pu_ldo_13_dsleep,RW,1'h1,C,,,,,,,,,,,,
ARRAY_BASE,10'h00c,reg_array,11,reg_pu_ldo_13_dr,RW,1'h0,C,,,,,,,,,,,,
ARRAY_BASE,10'h00c,reg_array,10,reg_pu_ldo_13,RWI,1'h0,C,,,,,,,,,,,,
ARRAY_BASE,10'h00c,reg_array,4:1,reg_ldo_13_ramp_step,RW,4'h8,C,,,,,,,,,,,,
ARRAY_BASE,10'h00c,reg_array,0,reg_ldo_13_ramp_en,RW,1'h1,C,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ARRAY_BASE,10'h00d,reg_array,15,reg_lp_en_ldo_01_dr,RW,1'h0,D,,,,,,,,,,,,
ARRAY_BASE,10'h00d,reg_array,14,reg_lp_en_ldo_01,RW,1'h0,D,,,,,,,,,,,,
ARRAY_BASE,10'h00d,reg_array,13,reg_pu_ldo_01_dr,RW,1'h0,D,,,,,,,,,,,,
ARRAY_BASE,10'h00d,reg_array,12,reg_pu_ldo_01,RW,1'h1,D,,,,,,,,,,,,
ARRAY_BASE,10'h00d,reg_array,11:6,reg_ldo_01_vbit_dsleep,RW,6'h0c,D,,,,,,,,,,,,
ARRAY_BASE,10'h00d,reg_array,5:0,reg_ldo_01_vbit_normal,RW,6'h14,D,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ARRAY_BASE,10'h00e,reg_array,3,reg_ldo_06_pulldown,RW,1'h0,E,,,,,,,,,,,,
ARRAY_BASE,10'h00e,reg_array,2,reg_ldo_03_pulldown,RW,1'h0,E,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ARRAY_BASE,10'h00e,reg_array,0,resetn_db_en,RW,1'h1,E,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ARRAY_BASE,10'h00f,reg_array,8:4,clk_gpio_div_value,RW,5'h01,F,,,,,,,,,,,,
ARRAY_BASE,10'h00f,reg_array,3,reg_gpio_clk_osc_sel,RW,1'h0,F,,,,,,,,,,,,
ARRAY_BASE,10'h00f,reg_array,2,reg_gpio_clk_32k_sel,RW,1'h0,F,,,,,,,,,,,,
ARRAY_BASE,10'h00f,reg_array,1,reg_gpio_osc_clk_en,RW,1'h0,F,,,,,,,,,,,,
ARRAY_BASE,10'h00f,reg_array,0,reg_gpio_rc_clk_en,RW,1'h0,F,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ARRAY_BASE,10'h010,reg_array,15:8,reg_ldo_11_vbit_normal,RW,8'h28,10,,,,,,,,,,,,
ARRAY_BASE,10'h010,reg_array,7:0,reg_ldo_11_vbit_dsleep,RW,8'h28,10,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ARRAY_BASE,10'h011,reg_array,15:11,power_up_soft_cnt,RW,5'h18,11,,,,,,,,,,,,
