Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,,,,,,,,,,,,,,,
0,0.303,/,,0,0.8195,/,,0,1.1978,/,,0,1.207,/,,0,0.5985,/,,0,0.5955,/,,0,0.5975,/,,0,0.8993,/,,0,0.9011,/,,0,0.9009,/,,0,0.3249,/,,0,1.2024,/,,0,1.2035,/,,0,1.1989,/,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV
5,0.4328,24.7,,5,1.3075,91,,5,1.6969,100.6,,5,1.705,100,,5,0.7235,24.8,,5,0.6199,4.9,,5,0.6218,4.9,,5,0.9245,5.1,,5,0.9266,5.1,,5,0.9257,4.9,,5,0.4394,25,,5,1.7017,99.9,,5,1.7035,100.5,,5,1.6978,100,,4,1.6445,0.1442,,4,1.5529,0.1361,,4,1.6446,0.1392,,4,1.5525,0.1312
6,0.4581,25.3,,6,1.4088,101.3,,6,1.7969,100,,6,1.805,100,,6,0.7487,25.2,,6,0.6249,5,,6,0.6267,4.9,,6,0.9294,4.9,,6,0.9316,5,,6,0.9307,5,,6,0.4642,24.8,,6,1.8018,100.1,,6,1.8034,99.9,,6,1.7965,98.7,,5,1.7876,0.1431,,5,1.6881,0.1352,,5,1.7876,0.143,,5,1.6877,0.1352
7,0.4829,24.8,,7,1.4954,86.6,,7,1.8977,100.8,,7,1.905,100,,7,0.7735,24.8,,7,0.6299,5,,7,0.6316,4.9,,7,0.9343,4.9,,7,0.9366,5,,7,0.9356,4.9,,7,0.4879,23.7,,7,1.902,100.2,,7,1.904,100.6,,7,1.8967,100.2,,6,1.9296,0.142,,6,1.8221,0.134,,6,1.9355,0.1479,,6,1.8272,0.1395
8,0.5083,25.4,,8,1.6116,116.2,,8,1.9918,94.1,,8,2.011,106,,8,0.7964,22.9,,8,0.6347,4.8,,8,0.6366,5,,8,0.9392,4.9,,8,0.9416,5,,8,0.9406,5,,8,0.5136,25.7,,8,2.0037,101.7,,8,2.0029,98.9,,8,1.9929,96.2,,7,2.0723,0.1427,,7,1.957,0.1349,,7,2.0781,0.1426,,7,1.962,0.1348
9,0.533,24.7,,9,1.7097,98.1,,9,2.0924,100.6,,9,2.111,100,,9,0.8212,24.8,,9,0.6395,4.8,,9,0.6414,4.8,,9,0.9441,4.9,,9,0.9467,5.1,,9,0.9455,4.9,,9,0.5385,24.9,,9,2.1038,100.1,,9,2.1036,100.7,,9,2.0931,100.2,,8,2.2175,0.1452,,8,2.0933,0.1363,,8,2.2217,0.1436,,8,2.0968,0.1348
A,0.5582,25.2,,A,1.8051,95.4,,A,2.1926,100.2,,A,2.211,100,,A,0.8465,25.3,, a,0.6445,5,, a,0.6464,5,, a,0.9491,5,, a,0.9517,5,, a,0.9505,5,, a,0.5634,24.9,, a,2.204,100.2,, a,2.2035,99.9,, a,2.1919,98.8,,9,2.3604,0.1429,,9,2.2282,0.1349,,9,2.3647,0.143,,9,2.2315,0.1347
B,0.583,24.8,,,,98.56,,,,99.48,,B,2.311,100,,B,0.8713,24.8,, b,0.6493,4.8,, b,0.6512,4.8,, b,0.954,4.9,, b,0.9568,5.1,, b,0.9554,4.9,, b,0.5885,25.1,, b,2.3039,99.9,, b,2.3038,100.3,, b,2.2918,99.9,, a,2.5022,0.1418,, a,2.363,0.1348,, a,2.5122,0.1475,, a,2.3718,0.1403
C,0.6095,26.5,,,,,,,,,,C,2.408,97,,C,0.8963,25,, c,0.654,4.7,, c,0.656,4.8,, c,0.9594,5.4,, c,0.9621,5.3,, c,0.9604,5,, c,0.6141,25.6,, c,2.4031,99.2,, c,2.4026,98.8,, c,2.3916,99.8,, b,2.6441,0.1419,, b,2.4968,0.1338,, b,2.6541,0.1419,, b,2.5055,0.1337
D,0.634,24.5,,,,,,,,,,D,2.508,100,,D,0.9212,24.9,, d,0.6591,5.1,, d,0.6608,4.8,, d,0.9644,5,, d,0.9671,5,, d,0.9654,5,, d,0.6394,25.3,, d,2.5029,99.8,, d,2.5029,100.3,, d,2.4916,100,, c,2.7879,0.1438,, c,2.6332,0.1364,, c,2.7928,0.1387,, c,2.6371,0.1316
E,0.6594,25.4,,,,,,,,,,E,2.608,100,,E,0.9464,25.2,, e,0.6641,5,, e,0.6658,5,, e,0.9693,4.9,, e,0.9722,5.1,, e,0.9704,5,, e,0.6648,25.4,, e,2.603,100.1,, e,2.6028,99.9,, e,2.5904,98.8,, d,2.9302,0.1423,, d,2.7675,0.1343,, d,2.935,0.1422,, d,2.7713,0.1342
F,0.6839,24.5,,,,,,,,,,F,2.708,100,,F,0.9713,24.9,, f,0.6691,5,, f,0.6706,4.8,, f,0.9745,5.2,, f,0.9775,5.3,, f,0.9755,5.1,, f,0.6904,25.6,, f,2.703,100,, f,2.7032,100.4,, f,2.6904,100,, e,3.0713,0.1411,, e,2.9006,0.1331,, e,3.0819,0.1469,, e,2.91,0.1387
10,0.7069,23,,,,,,,,,,10,2.81,102,,10,0.9965,25.2,,10,0.6739,4.8,,10,0.6757,5.1,,10,0.9797,5.2,,10,0.9814,3.9,,10,0.9805,5,,10,0.7147,24.3,,10,2.8012,98.2,,10,2.8008,97.6,,10,2.7954,105,, f,3.2135,0.1422,, f,3.0349,0.1343,, f,3.2242,0.1423,, f,3.0441,0.1341
11,0.7321,25.2,,,,,,,,,,11,2.911,101,,11,1.0214,24.9,,11,0.6787,4.8,,11,0.6805,4.8,,11,0.9846,4.9,,11,0.9865,5.1,,11,0.9854,4.9,,11,0.7402,25.5,,11,2.9011,99.9,,11,2.9015,100.7,,11,2.8953,99.9,,10,3.3608,0.1473,,10,3.1791,0.1442,,,,143.5333333,,10,3.1751,0.131
12,0.7575,25.4,,,,,,,,,,12,3.011,100,,12,1.0467,25.3,,12,0.6838,5.1,,12,0.6856,5.1,,12,0.9896,5,,12,0.9915,5,,12,0.9904,5,,12,0.7658,25.6,,12,3.0014,100.3,,12,3.0011,99.6,,12,2.9943,99,,,,143.05625,,11,3.3138,0.1347,,,,,,11,3.3097,0.1346
13,0.7821,24.6,,,,,,,,,,13,3.111,100,,13,1.0714,24.7,,13,0.6888,5,,13,0.6904,4.8,,13,0.9946,5,,13,0.9966,5.1,,13,0.9953,4.9,,13,0.7917,25.9,,13,3.1013,99.9,,13,3.1015,100.4,,13,3.0943,100,,,,,,,,135.3823529,,,,,,,,135.1941176
14,0.8091,27,,,,,,,,,,14,3.207,96,,14,1.0964,25,,14,0.6935,4.7,,14,0.6953,4.9,,14,1,5.4,,14,1.0019,5.3,,14,1.0005,5.2,,14,0.8175,25.8,,14,3.2001,98.8,,14,3.1999,98.4,,14,3.1938,99.5,,,,,,,,,,,,,,,,
15,0.8333,24.2,,,,,,,,,,15,3.307,100,,15,1.1212,24.8,,15,0.6986,5.1,,15,0.7002,4.9,,15,1.005,5,,15,1.007,5.1,,15,1.0053,4.8,,15,0.8432,25.7,,15,3.2999,99.8,,15,3.3003,100.4,,15,3.2937,99.9,,,,,,,,,,,,,,,,
16,0.8585,25.2,,,,,,,,,,16,3.407,100,,16,1.1465,25.3,,16,0.7037,5.1,,16,0.7052,5,,16,1.0099,4.9,,16,1.012,5,,16,1.0103,5,,16,0.8686,25.4,,16,3.4,100.1,,16,3.4001,99.8,,16,3.3925,98.8,,,,,,,,,,,,,,,,
